"","x"
"1",9.6724910736084
"2",11.0504112243652
"3",11.055477142334
"4",10.622688293457
"5",10.3926544189453
"6",13.8406238555908
"7",19.410665512085
"8",19.8658657073975
"9",19.3594036102295
"10",13.0371160507202
"11",12.0669355392456
"12",18.9125556945801
"13",22.9697532653809
"14",21.7127170562744
"15",17.7777938842773
"16",13.2005376815796
"17",15.90052318573
"18",13.5140504837036
"19",13.7512264251709
"20",14.2121543884277
"21",10.1452579498291
"22",9.79521083831787
"23",8.12257957458496
"24",8.51065063476562
"25",13.0177907943726
"26",15.3885679244995
"27",13.2053442001343
"28",16.3295097351074
"29",18.8780708312988
"30",22.3884048461914
"31",22.1875381469727
"32",7.62009763717651
"33",11.0659885406494
"34",10.7949333190918
"35",16.9975738525391
"36",16.1652889251709
"37",16.3688278198242
"38",16.274206161499
"39",16.9545745849609
"40",17.5118961334229
"41",17.7203044891357
"42",15.3078517913818
"43",21.9409046173096
"44",15.4309387207031
"45",11.0969953536987
"46",14.6412324905396
"47",17.0322895050049
"48",15.8080997467041
"49",18.1903305053711
"50",23.1523284912109
"51",23.9122409820557
"52",22.0874729156494
"53",17.0109691619873
"54",20.8519535064697
"55",26.1358528137207
"56",25.8391628265381
"57",27.6317310333252
"58",15.1878356933594
"59",22.1201343536377
"60",13.241886138916
"61",19.2834701538086
"62",19.3582305908203
"63",10.7234687805176
"64",15.0057621002197
"65",23.0433406829834
"66",16.7080554962158
"67",21.749095916748
"68",18.3206253051758
"69",22.209041595459
"70",26.6287689208984
"71",17.0909824371338
"72",19.1184997558594
"73",13.3173475265503
"74",6.28604698181152
"75",9.32300662994385
"76",5.25450706481934
"77",3.56130385398865
"78",4.64178466796875
"79",5.21445369720459
"80",8.87270355224609
"81",12.5002918243408
"82",8.15082740783691
"83",7.37631750106812
"84",7.73527002334595
"85",11.4819755554199
"86",11.9391069412231
"87",16.9195594787598
"88",19.8853893280029
"89",9.4805965423584
"90",17.642219543457
"91",19.158109664917
"92",20.8595123291016
"93",20.7433738708496
"94",21.3821620941162
"95",12.2551965713501
"96",9.34569263458252
"97",11.0056819915771
"98",11.3389015197754
"99",14.692889213562
"100",9.29555320739746
"101",10.4690713882446
"102",12.2033815383911
"103",22.2266426086426
"104",14.9507160186768
"105",7.81881189346313
"106",11.1617498397827
"107",16.3863735198975
"108",13.7695655822754
"109",11.9254636764526
"110",15.9118824005127
"111",19.1835784912109
"112",18.90944480896
"113",20.9165077209473
"114",11.3555469512939
"115",14.4811334609985
"116",8.99008178710938
"117",8.79411792755127
"118",14.7745914459229
"119",17.7544136047363
"120",16.6697273254395
"121",10.239896774292
"122",10.1707916259766
"123",16.5163459777832
"124",14.4100103378296
"125",8.14866256713867
"126",10.1350040435791
"127",20.7954998016357
"128",17.7080535888672
"129",18.9055290222168
"130",21.6363468170166
"131",17.7429637908936
"132",26.1410636901855
"133",19.7697525024414
"134",20.2775173187256
"135",16.9309387207031
"136",20.1892261505127
"137",15.318133354187
"138",10.4434633255005
"139",12.7228126525879
"140",14.3524284362793
"141",10.2801656723022
"142",7.89128160476685
"143",12.7585144042969
"144",12.3400411605835
"145",15.2189798355103
"146",22.5733642578125
"147",14.3008108139038
"148",13.1773624420166
"149",16.2574329376221
"150",16.9655895233154
"151",13.9712724685669
"152",14.2094955444336
"153",20.6566619873047
"154",13.6823883056641
"155",20.724630355835
"156",16.7991619110107
"157",12.4306783676147
"158",11.0364637374878
"159",7.83918619155884
"160",7.94466495513916
"161",7.06094598770142
"162",9.72774219512939
"163",10.5687742233276
"164",9.36122512817383
"165",7.75590753555298
"166",15.9631156921387
"167",11.9169340133667
"168",13.598822593689
"169",13.4065923690796
"170",13.897647857666
"171",10.025616645813
"172",6.32734823226929
"173",9.35161113739014
"174",12.1738834381104
"175",12.1885080337524
"176",12.1016416549683
"177",12.4247484207153
"178",17.9913730621338
"179",14.8951730728149
"180",10.8579025268555
"181",10.8235301971436
"182",11.6885423660278
"183",12.1898679733276
"184",14.5036497116089
"185",11.4804286956787
"186",8.80710983276367
"187",11.5115928649902
"188",13.4743776321411
"189",15.9091100692749
"190",10.2815895080566
"191",17.0401248931885
"192",22.9027633666992
"193",16.1711654663086
"194",15.4805660247803
"195",7.81114959716797
"196",11.8951892852783
"197",9.41839408874512
"198",12.0245485305786
"199",16.038028717041
"200",14.0734491348267
